Role,Features
Senior Researcher,"5 to 14 Years Research Scientist BA Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills Plan and conduct scientific research projects, including experimental design and data analysis. Collaborate with cross-functional teams and provide technical expertise. Publish research findings in peer-reviewed journals. 130658"
Construction Project Manager,"5 to 15 Years Project Manager MCA Construction management Budgeting Contract negotiation Safety regulations Oversee construction projects, including budgeting, scheduling, and coordination of subcontractors. Ensure compliance with safety regulations. Communicate project status to stakeholders. 90587"
Java Software Engineer,"1 to 9 Years Java Developer B.Tech Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills Design, code, test, and maintain Java-based software applications. Collaborate with cross-functional teams on software development projects. Debug and resolve software defects and issues. 47263"
IT Project Manager,"3 to 13 Years Project Manager BCA Project management Team leadership Risk management Budgeting Communication skills Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks. 125487"
Residential Interior Designer,"4 to 8 Years Interior Designer BA Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering Plan and design interiors for residential spaces, considering aesthetics and functionality. Select furniture, materials, and color schemes. Create design concepts and layout plans. 103497"
Office Manager,"5 to 14 Years Executive Assistant M.Tech Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics. 35422"
Social Media Analyst,"2 to 12 Years Social Media Manager M.Com Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification Analyze social media data and user behavior to generate actionable insights. Track key performance indicators (KPIs) and recommend optimization strategies. Stay updated on social media trends and algorithm changes. 43954"
Human Resources Director,"1 to 11 Years HR Manager MBA Strategic HR planning Employee relations Talent management HR policy development Leadership skills Oversee all HR functions, including recruitment, benefits administration, employee relations, and policy development. Align HR strategies with business goals. Provide leadership to the HR team. 113973"
Personal Assistant,"3 to 9 Years Executive Assistant M.Com Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality Provide high-level administrative support to executives, including calendar management and travel arrangements. Prepare reports, presentations, and correspondence. Act as a gatekeeper and handle confidential information. 122409"
Talent Acquisition Manager,"2 to 12 Years Human Resources Manager MCA Talent sourcing Interviewing Onboarding Recruitment strategies HR software Lead talent acquisition efforts, including sourcing, interviewing, and onboarding new employees. Collaborate with hiring managers to define job requirements. Develop and implement recruitment strategies. 17659"
Sales Representative,"0 to 9 Years Pharmaceutical Sales Representative B.Tech Sales techniques and strategies Relationship building CRM software usage Product knowledge Negotiation and closing skills Promote and sell pharmaceutical products to healthcare professionals, such as doctors and pharmacists. Build and maintain customer relationships. Provide product information and education. 65539"
Quality Assurance Analyst,"4 to 12 Years Software Tester BBA Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues. 134033"
Corporate Litigator,"0 to 15 Years Litigation Attorney B.Tech Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests. 67545"
Interior Designer,"5 to 10 Years Architectural Designer MBA Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration. 50886"
Exotic Animal Veterinarian,"5 to 14 Years Veterinarian BA Exotic animal medicine Exotic animal diagnostics Specialized surgical skills Avian medicine Reptile care Amphibian care Exotic animal anesthesia Compassion and empathy Client communication Problem-solving Attention to detail Focus on the health and medical needs of exotic and non-traditional pets, including reptiles, birds, and exotic mammals. Provide specialized care and treatment for unique species. Educate exotic pet owners on proper care. 15940"
Brand Manager,"3 to 15 Years Marketing Manager M.Com Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills Manage the overall brand identity, create marketing campaigns, and ensure brand consistency across all materials and touchpoints. Monitor brand performance and reputation. Collaborate with creative teams on branding materials. 93302"
Sourcing Analyst,1 to 12 Years Procurement Specialist BBA Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation Identify and evaluate potential suppliers and sourcing opportunities. Analyze market trends and supplier performance. Negotiate contracts and terms with suppliers. 41575
Interaction Designer,"5 to 9 Years UX/UI Designer BA Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs. 21893"
Systems Administrator,"4 to 15 Years Network Administrator BA System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge Administer servers and systems, ensuring uptime and reliability. Perform software installations and updates. Provide technical support to end-users. 131180"
Customer Success Manager,"0 to 14 Years Customer Support Specialist MBA Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products. 121810"
Investment Portfolio Manager,1 to 11 Years Investment Banker B.Com Investment analysis Portfolio management Risk assessment Manage investment portfolios on behalf of clients or organizations. Monitor portfolio performance and adjust investment strategies. Provide regular reports and updates to clients. 63963
Systems Administrator,"1 to 15 Years Network Administrator BCA System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge Administer servers and systems, ensuring uptime and reliability. Perform software installations and updates. Provide technical support to end-users. 51609"
Employee Relations Specialist,"1 to 9 Years Human Resources Manager M.Com Employee conflict resolution HR compliance Employee engagement Communication skills Address employee concerns, resolve conflicts, and implement HR policies and programs to foster a positive work environment. Conduct investigations and recommend corrective actions. Promote employee engagement and satisfaction. 27095"
Fine Arts Instructor,"0 to 8 Years Art Teacher M.Tech Artistic skills Teaching ability Communication skills Art history knowledge Creativity Teach fine arts, including drawing, painting, and sculpture, to students of all ages. Develop and execute art lesson plans. Foster creativity and artistic expression. 55227"
Brand PR Specialist,3 to 14 Years Public Relations Specialist BCA Brand management Public relations Brand storytelling Influencer marketing Media monitoring Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance. 44386
Finance Manager,"4 to 11 Years Financial Controller BBA Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff. 89719"
Social Science Researcher,"1 to 10 Years Research Analyst MBA Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects. 120503"
Network Administrator,"0 to 14 Years Network Engineer BA Network management Troubleshooting Network security IT certifications (e.g., CCNA) Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance. 116493"
Environmental Impact Analyst,1 to 11 Years Environmental Consultant PhD Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS (Geographic Information Systems) Technical writing Assess the environmental impact of projects and developments. Conduct environmental impact assessments (EIAs) and provide mitigation recommendations. Collaborate with project teams and regulators. 32690
Wealth Advisor,0 to 11 Years Investment Advisor B.Tech Financial planning Investment knowledge Relationship management Communication skills Analytical skills Provide financial advice and investment strategies to clients. Assess clients financial goals and risk tolerance. Create personalized investment portfolios. 91826
Financial Planner,"0 to 11 Years Financial Analyst B.Com Financial planning Investment strategy Retirement planning Tax knowledge Assist clients with financial planning, investment strategies, and retirement planning. Conduct comprehensive financial assessments. Provide personalized financial advice and recommendations. 17522"
Systems Engineer,2 to 14 Years Aerospace Engineer MBA Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams. 126395
Procurement Coordinator,"0 to 14 Years Procurement Specialist MCA Procurement processes Purchase order management Vendor communication Data analysis Inventory control Support procurement activities, such as purchase order processing, vendor communications, and documentation. Maintain procurement records and reports. Assist in supplier audits and assessments. 101425"
Speech Pathologist,2 to 13 Years Speech Therapist BA Speech pathology Articulation therapy Language disorders Speech assessment Therapy planning Communication skills Diagnose and treat a wide range of speech and language disorders across age groups. Use assessment tools and therapeutic techniques. Help individuals improve their communication abilities. 24619
Social Media Manager,"0 to 11 Years Digital Marketing Specialist MCA Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics. 30887"
Market Researcher,"1 to 14 Years Market Research Analyst PhD Market research methodologies Data collection and analysis Industry knowledge Research market trends, competitors, and consumer behavior. Identify opportunities for product or service improvement. Analyze and interpret qualitative and quantitative data. 32400"
Supply Chain Manager,"2 to 9 Years Operations Manager M.Tech Supply chain logistics and management Inventory control and procurement Supplier relationship management Data analysis and forecasting Risk assessment and mitigation Manage the supply chain process, including procurement, inventory management, and logistics. Optimize supply chain operations for cost-effectiveness and timely delivery. Monitor supplier performance and relationships. 126962"
Data Analyst,"5 to 13 Years Marketing Analyst B.Com Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards. 40233"
Finance Manager,"5 to 12 Years Financial Controller M.Com Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff. 113045"
B2B Sales Consultant,"2 to 15 Years Sales Consultant MBA B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals. 132065"
Social Media Manager,"1 to 11 Years Digital Marketing Specialist BA Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics. 57916"
Strategic Sourcing Manager,2 to 10 Years Procurement Manager BCA Strategic sourcing strategies Supplier evaluation and selection Negotiation skills Vendor management Cost analysis Supply chain management Contract management Problem-solving Attention to detail Communication skills Strategic thinking Develop sourcing strategies and manage supplier relationships. Negotiate contracts and terms. Optimize procurement processes and costs. 38711
Staff Nurse,"0 to 14 Years Registered Nurse B.Com Nursing care Patient assessment Medical knowledge Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans. 39638"
Electrical Engineer,4 to 14 Years Electrical Designer BCA Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving Design electrical systems and components for buildings and infrastructure projects. Ensure compliance with electrical codes and safety standards. Collaborate with architects and contractors. 13007
Real Estate Paralegal,"5 to 8 Years Paralegal M.Tech Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions. 78956"
Fine Arts Instructor,"4 to 14 Years Art Teacher BCA Artistic skills Teaching ability Communication skills Art history knowledge Creativity Teach fine arts, including drawing, painting, and sculpture, to students of all ages. Develop and execute art lesson plans. Foster creativity and artistic expression. 39856"
Quality Assurance Analyst,"2 to 9 Years Software Tester M.Tech Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues. 84597"
Inventory Manager,"4 to 11 Years Purchasing Agent M.Com Inventory control Demand forecasting Supply chain management Data analysis Warehouse management Manage inventory levels, track stock, and optimize inventory processes. Ensure stock availability and minimize carrying costs. Conduct inventory audits and reconcile discrepancies. 67255"
Event Planner,"3 to 8 Years Event Coordinator M.Tech Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations. 78342"
Urban Planner,"4 to 15 Years Landscape Architect B.Tech Urban design and planning Zoning regulations GIS and mapping tools Plan and design urban spaces, parks, and recreational areas. Consider sustainability and community needs in design. Collaborate with city planners and architects. 35869"
Mechanical Design Engineer,"2 to 12 Years Mechanical Engineer B.Tech Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses. 66675"
Commercial Landscape Architect,"5 to 14 Years Landscape Designer M.Com Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management Plan and design outdoor spaces for commercial and public projects, such as parks, resorts, and urban developments. Manage project budgets and timelines. Collaborate with architects and contractors. 123615"
Front-End Developer,"2 to 12 Years UI Developer MCA Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience. 57461"
Database Developer,"2 to 10 Years Database Administrator PhD Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures. 128274"
SEO Specialist,"4 to 15 Years Digital Marketing Specialist MCA Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy Optimize websites for search engines (SEO), conduct keyword research, and improve online visibility and search rankings. Monitor and analyze SEO performance metrics. Implement SEO best practices and strategies. 65899"
City Planner,"1 to 8 Years Urban Planner PhD Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs. 61224"
Frontend Web Designer,"2 to 9 Years Web Designer M.Tech Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills Create visually appealing and responsive web designs using HTML, CSS, and JavaScript. Ensure cross-browser compatibility. Optimize web performance and page load times. 120606"
Customer Success Manager,"3 to 9 Years Customer Support Specialist B.Com Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products. 108697"
Pediatric Occupational Therapist,0 to 13 Years Occupational Therapist M.Com Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge Provide occupational therapy services to children with developmental or sensory challenges. Develop individualized therapy plans. Collaborate with parents and caregivers. 125121
Corporate Attorney,"0 to 14 Years Legal Counsel B.Tech Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings. 94280"
Risk Analyst,"4 to 10 Years Investment Analyst B.Tech Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge Evaluate investment risks, including market, credit, and operational risks. Develop risk models and stress tests. Implement risk management strategies and controls. 56156"
Visual Designer,"1 to 15 Years Art Director B.Tech Graphic design Typography User interface (UI) design Adobe Creative Suite proficiency Branding and visual identity creation Create visual concepts and designs for various media, such as print, digital, and advertising campaigns. Use graphic design software and tools to produce high-quality visuals. Collaborate with art and design teams to execute projects. 29482"
Sustainable Design Specialist,0 to 15 Years Architect BA Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions. 51908
Crisis Communication Manager,5 to 9 Years Public Relations Specialist M.Tech Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication Develop crisis communication plans and strategies for handling PR crises. Respond to crises and manage public perception and reputation. Provide media training for spokespersons. 43128
HR Compliance Specialist,4 to 12 Years HR Manager M.Tech Employment law knowledge Compliance management Auditing skills Employee relations Communication skills Ensure HR policies and practices comply with legal and regulatory requirements. Conduct audits and investigations. Provide guidance on compliance issues. 67830
Staff Nurse,"0 to 11 Years Registered Nurse M.Com Nursing care Patient assessment Medical knowledge Provide direct patient care, including assessments, medication administration, and wound care. Monitor patient conditions and vital signs. Collaborate with healthcare teams to develop care plans. 44892"
Child Welfare Worker,2 to 9 Years Social Worker PhD Child welfare policies and regulations Child protective services Child development Crisis intervention Case management Cultural competence Interviewing and assessment skills Court procedures Documentation Empathy Communication skills Provide support and counseling to children and families in need. Assess child safety and risk factors. Develop and implement care plans and interventions. 49999
Account Manager,"0 to 15 Years Customer Success Manager B.Tech Account management Customer relationship management Sales and negotiation Business development Client needs analysis Build and nurture relationships with key clients, understanding their business goals. Identify opportunities for upselling or cross-selling products or services. Ensure client satisfaction and retention. 24441"
Advertising Account Executive,"2 to 14 Years Account Executive BCA Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying Manage advertising campaigns for clients, from planning to execution. Develop advertising strategies and creative concepts. Monitor campaign performance and provide insights. 40753"
Customer Success Manager,"2 to 14 Years Customer Support Specialist BCA Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products. 30038"
In-House Counsel,"2 to 15 Years Legal Advisor PhD In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling Serve as in-house legal counsel for organizations, managing legal issues and contracts internally. Provide legal training to staff and address legal questions and concerns. 101798"
Corporate Litigator,"4 to 13 Years Litigation Attorney M.Tech Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests. 77240"
Water Resources Engineer,"4 to 13 Years Civil Engineer BBA Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management Focus on water-related projects, such as flood control, water supply, and wastewater treatment. Design and manage water resource systems and infrastructure. Address water quality and conservation issues. 39814"
Marketing Specialist,5 to 14 Years Marketing Coordinator PhD Market research and analysis Content creation and copywriting Social media management SEO and digital marketing Marketing automation tools proficiency Assist in the development and execution of marketing campaigns and strategies. Create marketing collateral and content. Monitor and report on marketing performance metrics. 120053
Dental Hygiene Educator,5 to 8 Years Dental Hygienist BA Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience Educate patients on oral hygiene practices and preventive care. Provide oral health instruction and advice. Develop and deliver educational programs. 36709
Administrative Manager,3 to 15 Years Office Manager PhD Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills Oversee office operations and administrative staff. Develop office policies and procedures. Manage budgets and resources. 52493
SEM Analyst,2 to 8 Years SEM Specialist B.Com Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management Analyze SEM data and trends to optimize campaigns and ad spend. Generate reports and insights to improve SEM strategies. Stay up-to-date with SEM industry changes and best practices. 115243
Technical SEO Specialist,"4 to 15 Years SEO Specialist PhD Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy. 31628"
Front-End Developer,"1 to 11 Years UI Developer B.Tech Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience. 14126"
Corporate Event Coordinator,"5 to 13 Years Event Coordinator M.Tech Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail Specialize in planning and managing corporate events, including meetings, seminars, and trade shows. Handle event marketing and branding. Oversee event registration and attendee experience. 30588"
UI/UX Front-End Developer,"5 to 8 Years Front-End Engineer M.Tech UI/UX design Frontend web development Wireframing and prototyping User research Accessibility standards Responsive design Collaboration skills Focus on user interface (UI) and user experience (UX) design, translating design mockups into functional web interfaces. Conduct usability testing and iterate on designs. 118244"
Account Manager,"0 to 12 Years Customer Success Manager B.Com Account management Customer relationship management Sales and negotiation Business development Client needs analysis Build and nurture relationships with key clients, understanding their business goals. Identify opportunities for upselling or cross-selling products or services. Ensure client satisfaction and retention. 75711"
Backend Developer,"0 to 8 Years Software Engineer M.Tech Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django) Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend. 74181"
Pediatric Surgeon,"4 to 9 Years Pediatrician MBA Pediatric surgery Surgical procedures for children Operating room protocols Patient care Surgical techniques Pediatric anesthesia Perform surgical procedures on pediatric patients, including congenital abnormalities and injuries. Coordinate pre-operative and post-operative care. Ensure the well-being and recovery of young patients. 41769"
Event Coordinator,"0 to 10 Years Event Planner B.Tech Event planning Vendor coordination Budget management Marketing and promotion Logistics Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution. 90486"
Quality Assurance Analyst,"0 to 8 Years Software Tester BA Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues. 34413"
Strategic Sourcing Manager,3 to 8 Years Procurement Manager MBA Strategic sourcing strategies Supplier evaluation and selection Negotiation skills Vendor management Cost analysis Supply chain management Contract management Problem-solving Attention to detail Communication skills Strategic thinking Develop sourcing strategies and manage supplier relationships. Negotiate contracts and terms. Optimize procurement processes and costs. 34438
Wedding Designer,"4 to 9 Years Wedding Planner BBA Wedding design concepts Decor selection and arrangement Creative flair Focus on the visual and aesthetic aspects of weddings, including decor, floral arrangements, and styling. Create design concepts and layouts. Oversee setup and decoration on the wedding day. 53038"
Project Coordinator,"3 to 9 Years Executive Assistant B.Tech Project management Communication Time management Organization Problem-solving Assist in project management activities, such as project planning, scheduling, and documentation. Coordinate project meetings and communicate project updates to stakeholders. Ensure project milestones are met. 25306"
IT Analyst,"1 to 8 Years Systems Analyst MBA IT systems analysis Troubleshooting IT support and documentation Analyze business systems, processes, and requirements to identify IT solutions. Develop system specifications and requirements documents. Collaborate with IT teams to implement solutions. 49374"
Brand Strategist,"1 to 15 Years Brand Manager MBA Brand strategy development Market research and analysis Competitive analysis Brand positioning and messaging Creative direction and collaboration Develop brand strategies, positioning, and messaging to drive brand awareness and loyalty. Conduct market research and competitor analysis. Collaborate with creative teams on branding materials. 33704"
Social Science Researcher,"0 to 13 Years Research Analyst BCA Social science research methods Qualitative and quantitative data analysis Survey design and implementation Ethnographic research Interviewing skills Research ethics Statistical software (e.g., Stata, NVivo) Report writing Communication skills Critical thinking Empathy Conduct research in social sciences, gathering and analyzing data on social phenomena, human behavior, and public policy. Publish research findings in academic journals. Contribute to social science research projects. 67372"
QA Manager,"5 to 12 Years QA Engineer M.Com Quality assurance Process improvement Team leadership Problem-solving Quality control Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts. 62111"
Benefits Coordinator,"0 to 12 Years HR Coordinator BCA Employee benefits administration Benefits compliance HRIS Benefits communication Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits. 73377"
Corporate Attorney,"3 to 13 Years Legal Counsel MCA Corporate law and regulations Contract drafting and negotiation Legal research and analysis Risk management Excellent communication and negotiation skills Provide legal advice and guidance on corporate matters, contracts, and regulatory compliance. Draft and review legal documents and agreements. Represent the company in legal proceedings. 71338"
Mergers and Acquisitions Advisor,"5 to 14 Years Investment Banker M.Tech Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques Advise on mergers, acquisitions, and corporate finance transactions. Perform due diligence and financial analysis. Negotiate and structure deals. 31627"
City Planner,"1 to 8 Years Urban Planner PhD Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs. 28473"
Network Security Engineer,"2 to 8 Years Network Engineer MCA Network security protocols and technologies Firewalls and intrusion detection systems Vulnerability assessment and penetration testing Security policy development and enforcement Incident response and recovery Focus on network security, implement security measures, and protect against cyber threats. Conduct security audits and vulnerability assessments. Respond to security incidents and breaches. 44441"
Finance Manager,"1 to 13 Years Financial Controller M.Com Financial management Budgeting Financial analysis Financial reporting Risk management Financial software (e.g., Excel, QuickBooks) Strategic planning Oversee financial operations, including budgeting, financial reporting, and cash flow management. Ensure compliance with accounting standards and regulations. Supervise finance staff. 57909"
Interior Designer,"5 to 9 Years Architectural Designer PhD Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration. 106874"
Industrial Engineer,"5 to 9 Years Process Engineer BA Industrial engineering Process optimization Lean manufacturing Quality control Data analysis Workflow design Focus on industrial processes and systems. Streamline operations, reduce waste, and improve productivity. Implement lean and Six Sigma methodologies. 66605"
Infrastructure Manager,"5 to 14 Years IT Manager M.Tech Network administration System administration Virtualization technologies (e.g., VMware, Hyper-V) Storage management IT security Disaster recovery planning Capacity planning Monitoring and troubleshooting Cloud infrastructure (e.g., AWS, Azure) Vendor management Manage IT infrastructure, including servers, networks, and data centers. Ensure high availability, security, and scalability of IT systems. Plan and implement technology upgrades. 71930"
Strategic Account Manager,"0 to 14 Years Key Account Manager BBA Account management Client relationship Sales strategy Business development Negotiation skills Focus on strategic planning for key accounts, identifying long-term goals and growth opportunities. Collaborate with cross-functional teams to meet client needs. Monitor account performance and profitability. 49942"
Personal Assistant,"5 to 11 Years Executive Assistant MCA Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality Provide high-level administrative support to executives, including calendar management and travel arrangements. Prepare reports, presentations, and correspondence. Act as a gatekeeper and handle confidential information. 72099"
Crisis Communication Manager,2 to 9 Years Public Relations Specialist MBA Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication Develop crisis communication plans and strategies for handling PR crises. Respond to crises and manage public perception and reputation. Provide media training for spokespersons. 45400
